City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
309,ermoupolis,37.4423,24.9425,21.61,88,3,4.12,GR,1698368495
310,kembe,4.6228,21.8865,19.44,98,98,1.08,CF,1698368495
311,huarmey,-10.0681,-78.1522,19.74,82,76,3.5,PE,1698368496
312,bubaque,11.2833,-15.8333,28.0,79,17,6.28,GW,1698368496
313,sambava,-14.2667,50.1667,22.82,88,100,1.5,MG,1698368496
314,lazaro cardenas,17.9583,-102.2,26.21,86,39,3.24,MX,1698368378
315,carapicuiba,-23.5534,-46.8485,20.09,93,100,0.89,BR,1698368496
316,kolonia town,6.964,158.206,28.54,72,91,1.47,FM,1698368496
317,lebu,-37.6167,-73.65,10.03,95,47,2.99,CL,1698368497
318,plettenberg bay,-34.0527,23.3716,15.06,74,3,3.94,ZA,1698368497
319,sona,45.4388,10.8255,16.03,94,40,2.06,IT,1698368497
320,mount isa,-20.7333,139.5,25.87,11,40,6.17,AU,1698368471
321,tralee,52.2704,-9.7026,8.32,96,47,2.5,IE,1698368497
322,robinson,31.4677,-97.1147,25.46,92,0,4.63,US,1698368497
323,bafang,5.1563,10.1788,16.43,94,99,1.14,CM,1698368498
324,lensk,60.7253,114.9278,0.88,98,100,1.55,RU,1698368498
325,plastun,44.7561,136.2939,9.41,35,5,3.59,RU,1698368498
326,san martin de los andes,-40.1604,-71.3486,6.67,89,98,2.96,AR,1698368214
327,el granada,37.5027,-122.4694,17.48,64,0,9.26,US,1698368498
328,priob'ye,62.5206,65.5964,-4.47,80,96,2.64,RU,1698368498
329,tolanaro,-25.0319,46.9987,20.04,88,40,0.0,MG,1698368499
330,canico,32.6333,-16.85,22.62,85,40,0.0,PT,1698368499
331,mermoz boabab,14.7065,-17.4758,27.88,94,0,2.06,SN,1698368499
332,zhangye,38.9342,100.4517,11.73,23,1,1.64,CN,1698368499
333,changzhi,35.2089,111.7386,18.1,45,63,2.31,CN,1698368426
334,yokadouma,3.5167,15.05,19.58,99,76,0.32,CM,1698368499
335,tayshet,55.9342,98.0044,10.55,55,100,7.32,RU,1698368499
336,port-cartier,50.0334,-66.8654,7.12,67,100,2.5,CA,1698368500
337,buka,40.8108,69.1986,14.54,72,100,2.12,UZ,1698368500
338,tiszaluc,48.0333,21.0833,12.74,96,100,2.58,HU,1698368500
339,visby,57.6409,18.296,4.46,93,20,4.12,SE,1698368500
340,horta,38.5333,-28.6333,18.14,65,100,5.73,PT,1698368500
341,kone,-21.0595,164.8658,27.4,66,51,3.2,NC,1698368500
342,ketchikan,55.3422,-131.6461,9.99,55,10,2.07,US,1698368501
343,dahanu,19.9667,72.7333,24.52,46,1,1.68,IN,1698368501
344,vadso,70.0744,29.7487,-1.91,86,100,1.54,NO,1698368501
345,engelskirchen,50.9833,7.4,9.66,74,100,1.29,DE,1698368501
346,egilsstadir,65.2653,-14.3948,1.95,93,75,3.09,IS,1698368501
347,san antonio de pale,-1.4014,5.6325,25.75,87,99,5.98,GQ,1698368469
348,sao felix do xingu,-6.6447,-51.995,27.77,58,100,1.0,BR,1698368444
349,siaya,0.0612,34.2882,18.52,78,86,1.66,KE,1698368502
350,lerwick,60.1545,-1.1494,9.0,71,100,7.37,GB,1698368502
351,mossel bay,-34.1831,22.146,15.96,71,79,2.59,ZA,1698368502
352,misratah,32.3754,15.0925,22.62,76,6,3.64,LY,1698368502
353,soio,-6.1349,12.3689,24.83,86,100,3.99,AO,1698368502
354,saint-philippe,-21.3585,55.7679,22.77,85,17,2.78,RE,1698368502
355,luderitz,-26.6481,15.1594,15.32,82,0,7.2,NA,1698368502
356,caraballeda,10.6112,-66.8522,29.37,89,40,0.51,VE,1698368502
357,sandnessjoen,66.0217,12.6316,-2.71,73,13,3.75,NO,1698368503
358,yigo village,13.5361,144.8886,29.16,86,75,4.63,GU,1698368503
359,tura,25.5198,90.2201,20.47,85,0,1.05,IN,1698368503
360,al qusiyah,27.4402,30.8184,25.15,36,100,3.58,EG,1698368503
361,kayes,14.0,-11.0,27.88,21,64,0.52,ML,1698368503
